objectname,objectid,rating,numplays,weight,own,fortrade,want,wanttobuy,wanttoplay,prevowned,preordered,wishlist,wishlistpriority,wishlistcomment,comment,conditiontext,haspartslist,wantpartslist,collid,baverage,average,avgweight,rank,numowned,objecttype,originalname,minplayers,maxplayers,playingtime,maxplaytime,minplaytime,yearpublished,bggrecplayers,bggbestplayers,bggrecagerange,bgglanguagedependence,publisherid,imageid,year,language,other,itemtype,barcode,pricepaid,pp_currency,currvalue,cv_currency,acquisitiondate,acquiredfrom,quantity,privatecomment,invlocation,invdate,version_publishers,version_languages,version_yearpublished,version_nickname
"Android: Netrunner","124742","10","0","0","1","0","0","0","0","0","0","0","3","","My favorite game, back from the dead!","","","","18660168","7.65334","7.89251","3.4148","82","47312","thing","Android: Netrunner","2","2","45","45","45","2012","2","2","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Android: Netrunner – A Study in Static","135103","9","0","0","1","0","0","0","0","0","0","0","3","","","","","","19198088","6.08596","8.06628","3.1765","0","5440","thing","Android: Netrunner – A Study in Static","2","2","45","45","45","2013","2","2","14+","Moderate in-game text - needs crib sheet or paste ups","","","","","","expansion","","","","","","","","","","","","","","",""
"Android: Netrunner – Creation and Control","139596","9","1","0","1","0","0","0","0","0","0","0","3","","","","","","19867912","6.29703","8.21576","3.22","0","6661","thing","Android: Netrunner – Creation and Control","2","2","45","45","45","2013","2","2","10+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","","","",""
"Android: Netrunner – Cyber Exodus","133500","9","0","0","1","0","0","0","0","0","0","0","3","","","","","","19198085","6.17511","8.16336","3.3056","0","6033","thing","Android: Netrunner – Cyber Exodus","2","2","45","45","45","2013","2","2","12+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","","","",""
"Android: Netrunner – Double Time","149085","9","0","0","1","0","0","0","0","0","0","0","1","","","","","","24674423","5.84157","8.14065","3.5882","0","3569","thing","Android: Netrunner – Double Time","2","2","45","45","45","2014","2","2","","","","","","","","expansion","","","","","","","","","","","","","","",""
"Android: Netrunner – Fear and Loathing","147739","9","0","0","1","0","0","0","0","0","0","0","1","","","","","","22610270","5.84849","8.17147","3.4706","0","3637","thing","Android: Netrunner – Fear and Loathing","2","2","45","45","45","2014","","","","","","","","","","expansion","","","","","","","","","","","","","","",""
"Android: Netrunner – Future Proof","137863","9","0","0","1","0","0","0","0","0","0","0","1","","","","","","22610252","6.08477","8.18751","3.3793","0","5314","thing","Android: Netrunner – Future Proof","2","2","45","45","45","2013","2","2","10+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","","","",""
"Android: Netrunner – Honor and Profit","152314","9","0","0","1","0","0","0","0","0","0","0","1","","","","","","24674431","6.04786","8.28736","3.25","0","4736","thing","Android: Netrunner – Honor and Profit","2","2","45","45","45","2014","2","2","10+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","","","",""
"Android: Netrunner – Humanity's Shadow","136147","9","0","0","1","0","0","0","0","0","0","0","1","","","","","","22610253","6.07975","8.15635","3.2581","0","5310","thing","Android: Netrunner – Humanity's Shadow","2","2","45","45","45","2013","2","2","10+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","","","",""
"Android: Netrunner – Mala Tempora","144640","9","0","0","1","0","0","0","0","0","0","0","1","","","","","","22610256","5.88884","8.13782","3.2632","0","3986","thing","Android: Netrunner – Mala Tempora","2","2","45","45","45","2013","","","","","","","","","","expansion","","","","","","","","","","","","","","",""
"Android: Netrunner – Opening Moves","142727","9","0","0","1","0","0","0","0","0","0","0","1","","","","","","22610254","5.98878","8.21884","3.4167","0","4467","thing","Android: Netrunner – Opening Moves","2","2","45","45","45","2013","","","","Unplayable in another language","","","","","","expansion","","","","","","","","","","","","","","",""
"Android: Netrunner – Second Thoughts","143694","9","0","0","1","0","0","0","0","0","0","0","1","","","","","","22610258","5.91538","8.10407","3.1739","0","4061","thing","Android: Netrunner – Second Thoughts","2","2","45","45","45","2013","","","","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","","","",""
"Android: Netrunner – Terminal Directive","213269","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","49035128","5.75065","7.23585","3.5","0","2672","thing","Android: Netrunner – Terminal Directive","2","2","45","45","45","2017","2","2","12+","Unplayable in another language","","","","","","expansion","","","","","","","","","","","","","","",""
"Android: Netrunner – Trace Amount","132005","9","0","0","1","0","0","0","0","0","0","0","3","","","","","","19198080","6.1824","8.12186","3.28","0","6100","thing","Android: Netrunner – Trace Amount","2","2","45","45","45","2013","2","2","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","expansion","","","","","","","","","","","","","","",""
"Android: Netrunner – True Colors","146243","9","0","0","1","0","0","0","0","0","0","0","1","","","","","","22610262","5.88427","8.15296","3.5","0","3969","thing","Android: Netrunner – True Colors","2","2","45","45","45","2013","","","","","","","","","","expansion","","","","","","","","","","","","","","",""
"Android: Netrunner – Upstalk","154544","9","0","0","1","0","0","0","0","0","0","0","1","","","","","","24674418","5.77406","8.15018","3.4545","0","2976","thing","Android: Netrunner – Upstalk","2","2","45","45","45","2014","","","","","","","","","","expansion","","","","","","","","","","","","","","",""
"Android: Netrunner – What Lies Ahead","130806","9","0","0","1","0","0","0","0","0","0","0","3","","","","","","19198081","6.25774","8.11518","3.4","0","6882","thing","Android: Netrunner – What Lies Ahead","2","2","45","45","45","2012","2","2","14+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","","","",""
"Arboretum","140934","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","69090436","7.06027","7.24463","2.1119","431","42887","thing","Arboretum","2","4","30","30","30","2015","2,3,4","2","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Arcs","359871","9","0","0","1","0","0","0","0","0","0","0","1","","Yea, it's pretty good! I'd put this core game in sort of the Inis neighborhood: lots of direct conflict, multiple paths to victory, and lots of thinking about the cards you wish you had which cards someone else must have. Overall weightier, meaner, and longer than Inis. Plenty of obvious references to and refinements on Wehrle's other work.","","","","121048565","7.58557","8.01266","3.4346","104","28507","thing","Arcs","2","4","120","120","60","2024","2,3,4","3,4","14+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Arcs: Leaders & Lore Pack","419279","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","121048571","6.63164","8.56868","3.2632","0","10415","thing","Arcs: Leaders & Lore Pack","2","4","120","120","60","2024","2,3,4","3","14+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","","","",""
"Arcs: The Blighted Reach Expansion","363757","9","0","0","1","0","0","0","0","0","0","0","1","","Wildly different feeling from the base game. A campaign is played over three sessions each lasting only three or four ""rounds"" but with additional mechanics (including potential negotiations) three rounds takes longer than a full five rounds of the base game. Lots of interesting rules interactions and creative ideas here but definitely a big commitment.","","","","121048568","6.93614","8.86608","4.5176","0","9006","thing","Arcs: The Blighted Reach Expansion","2","4","0","0","0","2024","2,3,4","3,4","14+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","","","",""
"Arctic Scavengers: Base Game+HQ+Recon","174226","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","49036049","6.42286","7.1587","2.27","0","6257","thing","Arctic Scavengers: Base Game+HQ+Recon","1","5","60","60","45","2015","2,3,4,5","3,4","12+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Arkham Horror","15987","8","0","0","1","0","0","0","0","0","0","0","1","","I eventually bought all the expansions for this baroque table-crusher of a game. It's a co-op game with a steep learning curve and a ton of theme. For the right group it can be a smash hit, but definitely not for everyone.","","","","4915710","7.01977","7.24062","3.5854","475","55680","thing","Arkham Horror","1","8","240","240","120","2005","1,2,3,4,5,6","4","14+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Arkham Horror: Curse of the Dark Pharaoh Expansion","22172","8","0","0","1","0","0","0","0","0","0","0","1","","Minor additions to the game. Nothing to write home about but good to mix things up.","","","","4915711","6.54656","7.31927","3.15","0","9403","thing","Arkham Horror: Curse of the Dark Pharaoh Expansion","1","8","240","240","240","2006","1,2,3,4,5,6","4","12+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","","","",""
"Arkham Horror: Dunwich Horror Expansion","21059","8","0","0","1","0","0","0","0","0","0","0","1","","Lots of great additions, though we never do seem to get the Dunwich Horror on the board.","","","","4915712","7.11901","7.79971","3.4979","0","16819","thing","Arkham Horror: Dunwich Horror Expansion","1","8","240","240","240","2006","1,2,3,4,5,6","4","14+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","","","",""
"Arkham Horror: Innsmouth Horror Expansion","40776","8","2","0","1","0","0","0","0","0","0","0","3","","I like the jail mechanics and the tension of drawing from the Innsmouth Look deck.","","","","8490180","6.86759","7.89654","3.5825","0","10510","thing","Arkham Horror: Innsmouth Horror Expansion","1","8","180","180","180","2009","2,3,4,5,6","4","12+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","","","",""
"Arkham Horror: Kingsport Horror Expansion","31536","7","0","0","1","0","0","0","0","0","0","0","2","","","","","","5357893","6.56627","7.46981","3.3763","0","9613","thing","Arkham Horror: Kingsport Horror Expansion","2","8","240","240","120","2008","1,2,3,4,5,6","4","12+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","","","",""
"Arkham Horror: Miskatonic Horror Expansion","93465","7","0","0","1","0","0","0","0","0","0","0","1","","","","","","13577660","6.38944","7.93085","3.381","0","6109","thing","Arkham Horror: Miskatonic Horror Expansion","1","8","240","240","240","2011","1,2,3,4,5,6","4","14+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","","","",""
"Arkham Horror: The Black Goat of the Woods Expansion","37008","7","0","0","1","0","0","0","0","0","0","0","1","","","","","","13577657","6.51728","7.51114","3.1469","0","9170","thing","Arkham Horror: The Black Goat of the Woods Expansion","1","8","240","240","120","2008","2,3,4,5,6","4","12+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","","","",""
"Arkham Horror: The Card Game","205637","9","0","0","1","0","0","0","0","0","0","0","1","","","","","","52994880","7.89033","8.12069","3.566","32","83332","thing","Arkham Horror: The Card Game","1","2","120","120","60","2016","1,2","2","14+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Arkham Horror: The Card Game – The Drowned City: Campaign Expansion","428879","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","141317200","5.67783","7.84509","3.8571","0","3269","thing","Arkham Horror: The Card Game – The Drowned City: Campaign Expansion","1","4","180","180","45","2025","1,2,3,4","2","14+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","","","",""
"Arkham Horror: The Card Game – The Drowned City: Investigator Expansion","428880","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","141317203","5.70117","8.81529","3.6667","0","3066","thing","Arkham Horror: The Card Game – The Drowned City: Investigator Expansion","1","4","180","180","45","2025","1,2,3,4","2","14+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","","","",""
"Arkham Horror: The Card Game – The Feast of Hemlock Vale: Campaign Expansion","398893","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","141317211","5.97106","8.7549","3.875","0","4750","thing","Arkham Horror: The Card Game – The Feast of Hemlock Vale: Campaign Expansion","1","4","90","90","90","2024","1,2,3,4","2","14+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","","","",""
"Arkham Horror: The Card Game – The Feast of Hemlock Vale: Investigator Expansion","398891","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","141317216","5.83971","8.70519","4.2857","0","4328","thing","Arkham Horror: The Card Game – The Feast of Hemlock Vale: Investigator Expansion","1","4","90","90","90","2024","1,2,3,4","2","12+","","","","","","","expansion","","","","","","","","","","","","","","",""
"Arkham Horror: The Curse of the Dark Pharaoh Expansion (Revised Edition)","95683","7","0","0","1","0","0","0","0","0","0","0","1","","","","","","13577661","6.25858","7.75294","3.4615","0","4900","thing","Arkham Horror: The Curse of the Dark Pharaoh Expansion (Revised Edition)","1","8","240","240","120","2011","1,2,3,4,5","4","14+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","","","",""
"Arkham Horror: The King in Yellow Expansion","25945","7","3","0","1","0","0","0","0","0","0","0","1","","More of the same, really. Makes the game a bit harder, adds a few new twists. Everything I had hoped for, really.","","","","4915681","6.79895","7.62113","3.2093","0","12583","thing","Arkham Horror: The King in Yellow Expansion","1","8","240","240","120","2007","1,2,3,4,5,6","4","12+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","","","",""
"Arkham Horror: The Lurker at the Threshold Expansion","67208","7","0","0","1","0","0","0","0","0","0","0","1","","","","","","13577658","6.58192","7.80608","3.3423","0","8171","thing","Arkham Horror: The Lurker at the Threshold Expansion","1","8","240","240","240","2010","2,3,4,5","4","12+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","","","",""
"Ascension: Deckbuilding Game","69789","7","0","0","1","0","0","0","0","0","0","0","3","","A decent deck builder with a great iOS implementation. Handles player interaction reasonably well so you don't get the ""multiplayer solitaire"" problem but card diversity isn't huge.","","","","19181235","6.75936","7.04534","2.1371","814","15642","thing","Ascension: Deckbuilding Game","1","4","30","30","30","2010","2,3,4","2","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Backgammon","2397","8","0","0","1","0","0","0","0","0","0","0","3","","","","","","19181553","6.37655","6.57844","2.001","1641","25461","thing","Backgammon","2","2","30","30","30","-3000","2","2","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Bananagrams","27225","7","0","0","1","0","0","0","0","0","0","0","3","","I'm not competitively good at this game, but it's a crowd pleaser and tends to bring in the non-gamer crowd, that's for sure.","","","","19181479","6.22292","6.423","1.2878","2137","30326","thing","Bananagrams","1","8","15","15","15","2006","2,3,4,5,6","3,4,5","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"BANG!","3955","9","0","0","1","0","0","0","0","0","0","0","3","","Hidden team mechanics with a spaghetti western theme. The end game can drag on a bit, but it scales well to 7-8 people and it tends to inspire ""just one more game"" even with new players.","","","","2954268","6.32163","6.48802","1.6331","1790","46505","thing","BANG!","4","7","40","40","20","2002","5,6,7","7","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"BANG! Dodge City","9653","9","0","0","1","0","0","0","0","0","0","0","3","","If you own Bang, definitely get this one.","","","","2954269","6.35617","6.8684","1.6476","0","9523","thing","BANG! Dodge City","3","8","40","40","20","2004","5,6,7,8","7,8","10+","Some necessary text - easily memorized or small crib sheet","","","","","","expansion","","","","","","","","","","","","","","",""
"Battlestar Galactica: The Board Game","37111","8","0","0","1","0","0","0","0","0","0","0","1","","One of my all-time favorites. Theme, balance, betrayal... genius. Three expansions makes for way too many ways to play.","","","","8614521","7.52678","7.73098","3.2514","125","40925","thing","Battlestar Galactica: The Board Game","3","6","180","180","120","2008","4,5,6","5","14+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Battlestar Galactica: The Board Game – Daybreak Expansion","141648","9","0","0","1","0","0","0","0","0","0","0","3","","","","","","24699964","6.77722","8.26721","3.64","0","7050","thing","Battlestar Galactica: The Board Game – Daybreak Expansion","3","7","180","180","120","2013","4,5,6,7","5","14+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","","","",""
"Battlestar Galactica: The Board Game – Exodus Expansion","85905","8","0","0","1","0","0","0","0","0","0","0","3","","Huge improvement to the pacing of the base game; I love the new Cylon fleet board.","","","","12250438","7.07835","8.11748","3.5556","0","9875","thing","Battlestar Galactica: The Board Game – Exodus Expansion","3","6","180","180","120","2010","4,5,6","5","14+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","","","",""
"Battlestar Galactica: The Board Game – Pegasus Expansion","43539","7","0","0","1","0","0","0","0","0","0","0","1","","Pegasus is a nice boost, but it needed the later expansions to really work.","","","","8614571","7.15531","7.87987","3.3131","0","14056","thing","Battlestar Galactica: The Board Game – Pegasus Expansion","3","7","180","180","120","2009","4,5,6,7","5,6","14+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","","","",""
"Beowulf: The Legend","17449","7","0","0","1","0","0","0","0","0","0","0","3","","Surprisingly good competitive resource management game.","","","","8614589","5.9427","6.38312","2.2578","3526","3091","thing","Beowulf: The Legend","2","5","60","60","60","2005","3,4,5","5","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Beowulf: The Movie Board Game","29308","6","0","0","1","1","0","0","0","0","0","0","3","","Abstract Knizia tile laying game with a movie theme.","","","","8614590","5.82549","6.31478","2.1382","4501","2788","thing","Beowulf: The Movie Board Game","2","4","60","60","30","2007","2,3,4","2","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Blackbeard: The Golden Age of Piracy","25685","3","0","0","1","1","0","0","0","0","0","0","1","","Too many tables, too many rules. This is a real core-GMT-audience game and I just don't fit the bill.","","","","8614541","5.68919","6.11638","3.3135","6503","2867","thing","Blackbeard: The Golden Age of Piracy","1","5","120","120","120","2008","1,2,3,4,5","3","14+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Bohnanza","11","6","0","1","1","0","0","0","0","0","0","0","1","","I'm not a fan, but I bought it for Alyson and everyone else seems to love it more than life itself.","","","","2955745","6.96125","7.07897","1.6672","544","82812","thing","Bohnanza","2","7","45","45","45","1997","3,4,5,6,7","4,5","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Brass: Lancashire","28720","7","0","0","1","0","0","0","0","0","0","0","1","","I'm not usually a big Wallace fan, but I enjoyed this one pretty well. Players compete to industrialize western England. Reasonably tight mechanics and a good integration of theme and gameplay.","","","","12368246","7.95872","8.19703","3.8454","23","35731","thing","Brass: Lancashire","2","4","120","120","60","2007","2,3,4","4","14+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Burgle Bros 2: The Casino Capers","286537","8","0","0","1","0","0","0","0","0","0","0","3","","","","","","86863207","6.30919","7.25626","2.5294","1823","6417","thing","Burgle Bros 2: The Casino Capers","1","4","70","70","45","2021","1,2,3,4","3","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Carcassonne","822","7","0","0","1","0","0","0","0","0","0","0","3","","The classic tile-laying game. First game I ever bought. Still fun, but having played it as often as I have it tends not to land on the table.","","","","1236424","7.29864","7.41619","1.8854","239","222443","thing","Carcassonne","2","5","45","45","30","2000","2,3,4,5","2","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Carcassonne: Abbey & Mayor","31784","7","0","0","1","0","0","0","0","0","0","0","3","","","","","","8614611","6.61957","7.15222","2.019","0","19270","thing","Carcassonne: Abbey & Mayor","2","6","30","30","30","2007","2,3,4,5,6","3","8+","No necessary in-game text","","","","","","expansion","","","","","","","","","","","","","","",""
"Carcassonne: The River","2591","8","0","0","1","0","0","0","0","0","0","0","3","","","","","","1236425","6.71935","7.04011","1.6868","0","23607","thing","Carcassonne: The River","2","5","45","45","30","2001","2,3,4,5","3","8+","No necessary in-game text","","","","","","expansion","","","","","","","","","","","","","","",""
"Carcassonne: Traders & Builders","5405","7","0","0","1","0","0","0","0","0","0","0","3","","","","","","8614593","7.32233","7.62164","2.0577","0","44688","thing","Carcassonne: Traders & Builders","2","6","60","60","60","2003","2,3,4,5","2,3","8+","No necessary in-game text","","","","","","expansion","","","","","","","","","","","","","","",""
"Cartagena","826","7","0","0","1","0","0","0","0","0","0","0","3","","A great lightweight game that reminds me of 1D Chinese checkers. How can you get yourself ahead without helping other players too much?","","","","19181493","6.39961","6.682","1.5984","1576","9484","thing","Cartagena","2","5","45","45","45","2000","2,3,4,5","3","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Cartographers","263918","8","0","0","1","0","0","0","0","0","0","0","1","","","","","","86863077","7.39142","7.55619","1.8884","179","62124","thing","Cartographers","1","100","45","45","30","2019","1,2,3,4,5,6,7,8","3,4","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"The Castles of Burgundy","84876","8","0","0","1","0","0","0","0","0","0","0","4","","Feld's done it again! I think this is my favorite Feld ""point salad"" game. You must balance the various actions available and focus on efficiency to score points over the long haul.","","","","18660172","8.03054","8.1603","2.9714","15","83873","thing","The Castles of Burgundy","2","4","90","90","30","2011","2,3,4","2","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Catan","13","8","0","0","1","0","0","0","0","0","0","0","3","","Still one of the best, and with great expansions that give it depth to remain viable for ten years.","","","","1236421","6.90421","7.09123","2.2827","615","238966","thing","Catan","3","4","120","120","60","1995","3,4","4","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Catan Card Game","278","6","0","0","1","1","0","0","0","0","0","0","3","","Pretty weak.","","","","1236420","6.48326","6.69762","2.4384","1358","26961","thing","Catan Card Game","2","2","120","120","60","1996","2","2","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Catan: 5-6 Player Expansion","2807","8","0","2","1","0","0","0","0","0","0","0","1","","","","","","2954373","6.69258","6.98025","2.3109","0","56147","thing","Catan: 5-6 Player Expansion","5","6","120","120","120","1996","4,5,6","5","10+","Some necessary text - easily memorized or small crib sheet","","","","","","expansion","","","","","","","","","","","","","","",""
"Catan: Cities & Knights","926","9","0","0","1","0","0","0","0","0","0","0","1","","A big upgrade to classic Settlers. It adds complexity, yes, but it adds strategic options in all the places the core game had ""automatic"" decisions.","","","","2954971","7.15126","7.45144","2.897","0","48876","thing","Catan: Cities & Knights","3","4","150","150","90","1998","3,4","4","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","expansion","","","","","","","","","","","","","","",""
"Catan: Traders & Barbarians","27760","7","0","0","1","0","0","0","0","0","0","0","3","","","","","","19181425","6.44947","6.98544","2.5657","0","19418","thing","Catan: Traders & Barbarians","2","4","60","60","60","2007","2,3,4","4","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","expansion","","","","","","","","","","","","","","",""
